timestamp,length,highest_layer,src_port,dst_port,protocol,ttl,tcp_flags,payload_length,label
5.046637,537,Raw,Well-known,Dynamic_Private,6.0,63.0,PA,483.0,normal
5.046732,100,Raw,Well-known,Dynamic_Private,6.0,63.0,PA,46.0,normal
5.047195,60,Padding,Dynamic_Private,Well-known,6.0,64.0,A,6.0,normal
5.047195,60,Padding,Dynamic_Private,Well-known,6.0,64.0,A,6.0,normal
5.047195,60,Padding,Dynamic_Private,Well-known,6.0,64.0,A,6.0,normal
5.047572,100,Raw,Dynamic_Private,Well-known,6.0,64.0,PA,46.0,normal
5.048031,54,TCP,Well-known,Dynamic_Private,6.0,63.0,A,0.0,normal
5.049723,74,TCP,Registered,Well-known,6.0,64.0,S,0.0,normal
5.052108,218,Raw,Registered,Well-known,6.0,64.0,PA,164.0,normal
5.052566,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.054898,58,TCP,Well-known,Registered,6.0,63.0,SA,0.0,normal
5.055509,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
5.055776,270,Raw,Registered,Well-known,6.0,64.0,PA,216.0,normal
5.056726,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.057313,162,Raw,Well-known,Registered,6.0,63.0,PA,108.0,normal
5.057883,93,Raw,Registered,Well-known,6.0,64.0,PA,39.0,normal
5.058433,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.063877,2974,Raw,Well-known,Registered,6.0,63.0,A,2920.0,normal
5.064357,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
5.064788,1514,Raw,Well-known,Registered,6.0,63.0,A,1460.0,normal
5.064816,76,Raw,Well-known,Registered,6.0,63.0,PA,22.0,normal
5.065379,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
5.066459,147,Raw,Registered,Well-known,6.0,64.0,PA,93.0,normal
5.067091,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.071329,401,Raw,Well-known,Registered,6.0,63.0,PA,347.0,normal
5.072027,248,Raw,Registered,Well-known,6.0,64.0,PA,194.0,normal
5.07285,85,Raw,Registered,Well-known,6.0,64.0,PA,31.0,normal
5.072901,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.07285,60,Padding,Registered,Well-known,6.0,64.0,FA,6.0,normal
5.073484,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.073507,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
5.076773,92,Raw,Well-known,Registered,6.0,63.0,PA,38.0,normal
5.077398,60,Padding,Registered,Well-known,6.0,64.0,R,6.0,normal
5.07745,54,TCP,Well-known,Registered,6.0,63.0,FA,0.0,normal
5.07935,60,Padding,Registered,Well-known,6.0,64.0,R,6.0,normal
5.079736,54,TCP,Well-known,Registered,6.0,254.0,RA,0.0,normal
5.121573,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
5.129818,1296,Raw,Well-known,Registered,6.0,64.0,PA,1230.0,normal
5.130874,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
5.174032,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
5.185141,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
5.185822,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
5.370268,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
5.375245,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
5.375245,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
5.636693,217,Raw,Dynamic_Private,Registered,17.0,1.0,,175.0,normal
6.145829,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
6.152704,1297,Raw,Well-known,Registered,6.0,64.0,PA,1231.0,normal
6.154186,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
6.211106,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
6.217421,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
6.217973,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
6.388785,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
6.398475,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
6.398475,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
6.40015,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
6.401249,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
6.637628,217,Raw,Dynamic_Private,Registered,17.0,1.0,,175.0,normal
7.172845,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
7.176351,1294,Raw,Well-known,Registered,6.0,64.0,PA,1228.0,normal
7.180317,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
7.230552,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
7.241812,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
7.242319,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
7.243769,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
7.244319,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
7.411409,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
7.413696,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
7.414526,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
7.415581,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
